שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
אמת ליעקב על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על בבא מציעא.txt,Dicta,11
אמת ליעקב על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על יבמות.txt,Dicta,4
אמת ליעקב על סנהדרין.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על סנהדרין.txt,Dicta,16
אמת ליעקב על עירובין.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על עירובין.txt,Dicta,17
אמת ליעקב על שבת.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על שבת.txt,Dicta,65
אמת ליעקב על נדה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על נדה.txt,Dicta,4
אמת ליעקב על ראש השנה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על ראש השנה.txt,Dicta,24
אמת ליעקב על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על גיטין.txt,Dicta,7
אמת ליעקב על בכורות.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על בכורות.txt,Dicta,10
אמת ליעקב על מכות.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על מכות.txt,Dicta,4
אמת ליעקב על שבועות.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על שבועות.txt,Dicta,4
אמת ליעקב על סוטה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על סוטה.txt,Dicta,9
אמת ליעקב על ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על ברכות.txt,Dicta,126
אמת ליעקב על יומא.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על יומא.txt,Dicta,25
אמת ליעקב על תענית.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על תענית.txt,Dicta,60
אמת ליעקב על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על בבא בתרא.txt,Dicta,70
אמת ליעקב על עבודה זרה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על עבודה זרה.txt,Dicta,15
אמת ליעקב על סוכה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על סוכה.txt,Dicta,7
אמת ליעקב על מגילה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על מגילה.txt,Dicta,6
אמת ליעקב על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על כתובות.txt,Dicta,9
אמת ליעקב על חולין.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על חולין.txt,Dicta,6
אמת ליעקב על פסחים.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על פסחים.txt,Dicta,15
אמת ליעקב על מועד קטן.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על מועד קטן.txt,Dicta,16
אמת ליעקב על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על קידושין.txt,Dicta,6
אמת ליעקב על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על בבא קמא.txt,Dicta,12
אמת ליעקב על זבחים.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על זבחים.txt,Dicta,4
אמת ליעקב על חגיגה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על חגיגה.txt,Dicta,14
קשת יהונתן.txt,אוצריא/תנך/דרשות ודרושים/קשת יהונתן.txt,Dicta,137
עמק יהושע חלק ב.txt,אוצריא/תנך/דרשות ודרושים/עמק יהושע חלק ב.txt,Dicta,333
חצי יהונתן.txt,אוצריא/תנך/דרשות ודרושים/חצי יהונתן.txt,Dicta,45
ישמח משה על נך.txt,אוצריא/תנך/אחרונים/ישמח משה על נך.txt,Dicta,1334
דברי יהונתן.txt,אוצריא/תנך/אחרונים/דברי יהונתן.txt,Dicta,489
דבש תמר - א (תורה).txt,אוצריא/תנך/אחרונים/דבש תמר - א (תורה).txt,Dicta,176
באר היטב (על התורה).txt,אוצריא/תנך/אחרונים/באר היטב (על התורה).txt,Dicta,1274
ליקוטי מהריל על התורה.txt,אוצריא/תנך/אחרונים/ליקוטי מהריל על התורה.txt,Dicta,349
תפארת יהונתן על התורה.txt,אוצריא/תנך/אחרונים/תפארת יהונתן על התורה.txt,Dicta,1293
ברית שלום על חמשה מגילות.txt,אוצריא/תנך/אחרונים/ברית שלום על חמשה מגילות.txt,Dicta,228
כלי חמדה על התורה.txt,אוצריא/תנך/אחרונים/כלי חמדה על התורה.txt,Dicta,3207
אור הישר (תנך).txt,אוצריא/תנך/אחרונים/אור הישר (תנך).txt,Dicta,738
שפתי דעת.txt,אוצריא/תנך/אחרונים/שפתי דעת.txt,Dicta,1239
תורת נתנאל על התורה.txt,אוצריא/תנך/אחרונים/תורת נתנאל על התורה.txt,Dicta,498
פנים יפות בראשית.txt,אוצריא/תנך/אחרונים/פנים יפות בראשית.txt,Dicta,349
שפתי כהן בראשית.txt,אוצריא/תנך/אחרונים/שך/שפתי כהן בראשית.txt,Dicta,924
שפתי כהן שמות.txt,אוצריא/תנך/אחרונים/שך/שפתי כהן שמות.txt,Dicta,1263
שפתי כהן במדבר.txt,אוצריא/תנך/אחרונים/שך/שפתי כהן במדבר.txt,Dicta,1068
שפתי כהן ויקרא.txt,אוצריא/תנך/אחרונים/שך/שפתי כהן ויקרא.txt,Dicta,669
שפתי כהן דברים.txt,אוצריא/תנך/אחרונים/שך/שפתי כהן דברים.txt,Dicta,1141
המדרש והמעשה דברים.txt,אוצריא/תנך/אחרונים/המדרש והמעשה/המדרש והמעשה דברים.txt,Dicta,586
המדרש והמעשה במדבר.txt,אוצריא/תנך/אחרונים/המדרש והמעשה/המדרש והמעשה במדבר.txt,Dicta,747
המדרש והמעשה ויקרא.txt,אוצריא/תנך/אחרונים/המדרש והמעשה/המדרש והמעשה ויקרא.txt,Dicta,521
המדרש והמעשה שמות.txt,אוצריא/תנך/אחרונים/המדרש והמעשה/המדרש והמעשה שמות.txt,Dicta,593
אור המאיר על בראשית.txt,אוצריא/תנך/אחרונים/אור המאיר/אור המאיר על בראשית.txt,Dicta,152
אור המאיר על שמות.txt,אוצריא/תנך/אחרונים/אור המאיר/אור המאיר על שמות.txt,Dicta,195
אור המאיר על במדבר.txt,אוצריא/תנך/אחרונים/אור המאיר/אור המאיר על במדבר.txt,Dicta,167
אור המאיר ויקרא.txt,אוצריא/תנך/אחרונים/אור המאיר/אור המאיר ויקרא.txt,Dicta,180
אור המאיר דברים.txt,אוצריא/תנך/אחרונים/אור המאיר/אור המאיר דברים.txt,Dicta,243
אור הישר (ירושלמי).txt,אוצריא/תלמוד ירושלמי/מפרשים/אור הישר (ירושלמי).txt,Dicta,2047
גליוני השס על ירושלמי גיטין.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי גיטין.txt,Dicta,32
גליוני השס על ירושלמי נזיר.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי נזיר.txt,Dicta,23
גליוני השס על ירושלמי נדרים.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי נדרים.txt,Dicta,21
גליוני השס על ירושלמי קידושין.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי קידושין.txt,Dicta,44
גליוני השס על ירושלמי סוטה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי סוטה.txt,Dicta,62
גליוני השס על ירושלמי יבמות.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי יבמות.txt,Dicta,60
גליוני השס על ירושלמי כתובות.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נשים/גליוני השס על ירושלמי כתובות.txt,Dicta,65
גליוני השס על ירושלמי עבודה זרה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי עבודה זרה.txt,Dicta,42
גליוני השס על ירושלמי שבועות.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי שבועות.txt,Dicta,36
גליוני השס על ירושלמי מכות.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי מכות.txt,Dicta,14
גליוני השס על ירושלמי בבא קמא.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי בבא קמא.txt,Dicta,50
גליוני השס על ירושלמי הוריות.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי הוריות.txt,Dicta,16
גליוני השס על ירושלמי סנהדרין.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי סנהדרין.txt,Dicta,70
גליוני השס על ירושלמי בבא בתרא.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי בבא בתרא.txt,Dicta,34
גליוני השס על ירושלמי בבא מציעא.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/נזיקין/גליוני השס על ירושלמי בבא מציעא.txt,Dicta,44
גליוני השס על ירושלמי סוכה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי סוכה.txt,Dicta,19
גליוני השס על ירושלמי תענית.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי תענית.txt,Dicta,20
גליוני השס על ירושלמי מועד קטן.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי מועד קטן.txt,Dicta,11
גליוני השס כללים הערות וביאורים על ירושלמי מועד.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס כללים הערות וביאורים על ירושלמי מועד.txt,Dicta,263
גליוני השס על ירושלמי שבת.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי שבת.txt,Dicta,93
גליוני השס על ירושלמי ביצה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי ביצה.txt,Dicta,29
גליוני השס על ירושלמי שקלים.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי שקלים.txt,Dicta,28
גליוני השס על ירושלמי מגילה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי מגילה.txt,Dicta,19
גליוני השס על ירושלמי חגיגה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי חגיגה.txt,Dicta,25
גליוני השס על ירושלמי פסחים.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי פסחים.txt,Dicta,61
גליוני השס על ירושלמי ראש השנה.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי ראש השנה.txt,Dicta,22
גליוני השס על ירושלמי יומא.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי יומא.txt,Dicta,41
גליוני השס על ירושלמי עירובין.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס/מועד/גליוני השס על ירושלמי עירובין.txt,Dicta,42
אגרת התשובה לרבינו יונה.txt,אוצריא/ספרי מוסר/ראשונים/אגרת התשובה לרבינו יונה.txt,Dicta,81
אלפא ביתא.txt,אוצריא/ספרי מוסר/אחרונים/אלפא ביתא.txt,Dicta,79
יערות דבש - ב.txt,אוצריא/ספרי מוסר/אחרונים/יערות דבש - ב.txt,Dicta,1472
ברית שלום על הגדה של פסח.txt,אוצריא/סדר התפילה/הגדה/מפרשים/ברית שלום על הגדה של פסח.txt,Dicta,23
שות הריף.txt,אוצריא/שות/ראשונים/שות הריף.txt,Dicta,942
שות זכרון יהודה.txt,אוצריא/שות/ראשונים/שות זכרון יהודה.txt,Dicta,291
ברכת אברהם.txt,אוצריא/שות/ראשונים/ברכת אברהם.txt,Dicta,188
שות פאר הדור.txt,אוצריא/שות/ראשונים/רמבם/שות פאר הדור.txt,Dicta,852
שות ישועות מלכו.txt,אוצריא/שות/אחרונים/שות ישועות מלכו.txt,Dicta,1287
התעוררות תשובה חלק ב.txt,אוצריא/שות/אחרונים/התעוררות תשובה חלק ב.txt,Dicta,761
כפי אהרן חלק ב.txt,אוצריא/שות/אחרונים/כפי אהרן חלק ב.txt,Dicta,832
פי אריה.txt,אוצריא/שות/אחרונים/פי אריה.txt,Dicta,534
אמרי שפר קלצקין.txt,אוצריא/שות/אחרונים/אמרי שפר קלצקין.txt,Dicta,834
שות הרדד אורח חיים א.txt,אוצריא/שות/אחרונים/שות הרדד אורח חיים א.txt,Dicta,866
שות עונג יום טוב.txt,אוצריא/שות/אחרונים/שות עונג יום טוב.txt,Dicta,3187
טוב עין.txt,אוצריא/שות/אחרונים/טוב עין.txt,Dicta,811
שות אבן שתיה.txt,אוצריא/שות/אחרונים/שות אבן שתיה.txt,Dicta,1325
בנין של שמחה.txt,אוצריא/שות/אחרונים/בנין של שמחה.txt,Dicta,525
מהרש חלק א.txt,אוצריא/שות/אחרונים/מהרש חלק א.txt,Dicta,1749
גבעת הלבונה.txt,אוצריא/שות/אחרונים/גבעת הלבונה.txt,Dicta,1278
שות אבני חפץ.txt,אוצריא/שות/אחרונים/שות אבני חפץ.txt,Dicta,1150
מהרש חלק ב.txt,אוצריא/שות/אחרונים/מהרש חלק ב.txt,Dicta,1322
עמק יהושע חלק א.txt,אוצריא/שות/אחרונים/עמק יהושע חלק א.txt,Dicta,731
נחלת אבות.txt,אוצריא/שות/אחרונים/נחלת אבות.txt,Dicta,200
שות ברית עולם.txt,אוצריא/שות/אחרונים/שות ברית עולם.txt,Dicta,1869
דברי פנחס.txt,אוצריא/שות/אחרונים/דברי פנחס.txt,Dicta,830
אספת גאונים.txt,אוצריא/שות/אחרונים/אספת גאונים.txt,Dicta,84
אוהב משפט חלק א.txt,אוצריא/שות/אחרונים/אוהב משפט חלק א.txt,Dicta,190
בית רידבז.txt,אוצריא/שות/אחרונים/בית רידבז.txt,Dicta,545
נחלת יהושע.txt,אוצריא/שות/אחרונים/נחלת יהושע.txt,Dicta,1515
ברית יעקב חלק א.txt,אוצריא/שות/אחרונים/ברית יעקב חלק א.txt,Dicta,1945
שות מהראש.txt,אוצריא/שות/אחרונים/שות מהראש.txt,Dicta,770
השיב משה אבן העזר.txt,אוצריא/שות/אחרונים/השיב משה אבן העזר.txt,Dicta,721
אמונת שמואל.txt,אוצריא/שות/אחרונים/אמונת שמואל.txt,Dicta,217
בית שלמה אורח חיים.txt,אוצריא/שות/אחרונים/בית שלמה אורח חיים.txt,Dicta,693
בית שערים יורה דעה חלק ב.txt,אוצריא/שות/אחרונים/בית שערים יורה דעה חלק ב.txt,Dicta,4125
שופריה דיעקב חלק ב.txt,אוצריא/שות/אחרונים/שופריה דיעקב חלק ב.txt,Dicta,530
ברכת רצה.txt,אוצריא/שות/אחרונים/ברכת רצה.txt,Dicta,1550
בנין שלמה חלק ב.txt,אוצריא/שות/אחרונים/בנין שלמה חלק ב.txt,Dicta,174
שות די השב.txt,אוצריא/שות/אחרונים/שות די השב.txt,Dicta,872
ארצות יהודה.txt,אוצריא/שות/אחרונים/ארצות יהודה.txt,Dicta,278
שות איתן האזרחי.txt,אוצריא/שות/אחרונים/שות איתן האזרחי.txt,Dicta,684
שארית יוסף.txt,אוצריא/שות/אחרונים/שארית יוסף.txt,Dicta,271
יש מאין חלק ב.txt,אוצריא/שות/אחרונים/יש מאין חלק ב.txt,Dicta,410
אשר לשלמה.txt,אוצריא/שות/אחרונים/אשר לשלמה.txt,Dicta,2016
שות מהרי מינץ.txt,אוצריא/שות/אחרונים/שות מהרי מינץ.txt,Dicta,54
עבודת הגרשוני.txt,אוצריא/שות/אחרונים/עבודת הגרשוני.txt,Dicta,821
ויקרא אברהם.txt,אוצריא/שות/אחרונים/ויקרא אברהם.txt,Dicta,991
השיב משה אורח חיים.txt,אוצריא/שות/אחרונים/השיב משה אורח חיים.txt,Dicta,142
צרור החיים (לונשטם).txt,אוצריא/שות/אחרונים/צרור החיים (לונשטם).txt,Dicta,1174
רדך.txt,אוצריא/שות/אחרונים/רדך.txt,Dicta,1590
אהל אברהם.txt,אוצריא/שות/אחרונים/אהל אברהם.txt,Dicta,1309
בית יצחק אבן העזר חלק ב.txt,אוצריא/שות/אחרונים/בית יצחק אבן העזר חלק ב.txt,Dicta,2177
שות האדמור הזקן.txt,אוצריא/שות/אחרונים/שות האדמור הזקן.txt,Dicta,210
שות מהרש אלפנדרי.txt,אוצריא/שות/אחרונים/שות מהרש אלפנדרי.txt,Dicta,588
שות דברי יוסף.txt,אוצריא/שות/אחרונים/שות דברי יוסף.txt,Dicta,328
מעיל צדקה.txt,אוצריא/שות/אחרונים/מעיל צדקה.txt,Dicta,1013
אבני מילואים.txt,אוצריא/שות/אחרונים/אבני מילואים.txt,Dicta,406
וידבר דוד.txt,אוצריא/שות/אחרונים/וידבר דוד.txt,Dicta,776
קונטרס המרת הדת פוסלת.txt,אוצריא/שות/אחרונים/קונטרס המרת הדת פוסלת.txt,Dicta,36
באר משה (דנשבסקי) ב.txt,אוצריא/שות/אחרונים/באר משה (דנשבסקי) ב.txt,Dicta,572
תשובות מהרים.txt,אוצריא/שות/אחרונים/תשובות מהרים.txt,Dicta,912
בית אליקום.txt,אוצריא/שות/אחרונים/בית אליקום.txt,Dicta,344
שות מהרם בן חביב.txt,אוצריא/שות/אחרונים/שות מהרם בן חביב.txt,Dicta,419
התעוררות תשובה חלק א.txt,אוצריא/שות/אחרונים/התעוררות תשובה חלק א.txt,Dicta,1563
שאגת אריה.txt,אוצריא/שות/אחרונים/שאגת אריה.txt,Dicta,453
נאות דשא.txt,אוצריא/שות/אחרונים/נאות דשא.txt,Dicta,1765
בן פורת חלק ב.txt,אוצריא/שות/אחרונים/בן פורת חלק ב.txt,Dicta,306
השיב משה יורה דעה.txt,אוצריא/שות/אחרונים/השיב משה יורה דעה.txt,Dicta,289
שות מהרם אלשיך.txt,אוצריא/שות/אחרונים/שות מהרם אלשיך.txt,Dicta,678
ארץ צבי (פרומר) א.txt,אוצריא/שות/אחרונים/ארץ צבי (פרומר) א.txt,Dicta,2562
שות שתי הלחם.txt,אוצריא/שות/אחרונים/שות שתי הלחם.txt,Dicta,422
שות שבט סופר חלק א.txt,אוצריא/שות/אחרונים/שות שבט סופר חלק א.txt,Dicta,1834
כפי אהרן חלק א.txt,אוצריא/שות/אחרונים/כפי אהרן חלק א.txt,Dicta,1632
שות בית דוד.txt,אוצריא/שות/אחרונים/שות בית דוד.txt,Dicta,1065
שות מר ואהלות.txt,אוצריא/שות/אחרונים/שות מר ואהלות.txt,Dicta,1342
שות מהרם פדווא.txt,אוצריא/שות/אחרונים/שות מהרם פדווא.txt,Dicta,241
שושנת העמקים.txt,אוצריא/שות/אחרונים/שושנת העמקים.txt,Dicta,471
מלבושי יום טוב חלק א.txt,אוצריא/שות/אחרונים/מלבושי יום טוב חלק א.txt,Dicta,955
שות ישועות יעקב.txt,אוצריא/שות/אחרונים/שות ישועות יעקב.txt,Dicta,183
בית יצחק אורח חיים.txt,אוצריא/שות/אחרונים/בית יצחק אורח חיים.txt,Dicta,2508
בית יצחק חושן משפט.txt,אוצריא/שות/אחרונים/בית יצחק חושן משפט.txt,Dicta,1875
דבר אליהו (קלאצקין).txt,אוצריא/שות/אחרונים/דבר אליהו (קלאצקין).txt,Dicta,1069
יש מאין חלק א.txt,אוצריא/שות/אחרונים/יש מאין חלק א.txt,Dicta,403
שות נשאל דוד.txt,אוצריא/שות/אחרונים/שות נשאל דוד.txt,Dicta,195
בית יצחק אבן העזר חלק א.txt,אוצריא/שות/אחרונים/בית יצחק אבן העזר חלק א.txt,Dicta,2621
דרכי שלום.txt,אוצריא/שות/אחרונים/דרכי שלום.txt,Dicta,825
שות עטרת חכמים חלק א.txt,אוצריא/שות/אחרונים/שות עטרת חכמים חלק א.txt,Dicta,830
באר משה (דנשבסקי) א.txt,אוצריא/שות/אחרונים/באר משה (דנשבסקי) א.txt,Dicta,1072
חוט השני.txt,אוצריא/שות/אחרונים/חוט השני.txt,Dicta,564
השיב משה חושן משפט.txt,אוצריא/שות/אחרונים/השיב משה חושן משפט.txt,Dicta,324
משאת בנימין.txt,אוצריא/שות/אחרונים/משאת בנימין.txt,Dicta,510
שות רבינו בצלאל אשכנזי.txt,אוצריא/שות/אחרונים/שות רבינו בצלאל אשכנזי.txt,Dicta,954
שות מהראל צינץ.txt,אוצריא/שות/אחרונים/שות מהראל צינץ.txt,Dicta,914
ויוסף אברהם.txt,אוצריא/שות/אחרונים/ויוסף אברהם.txt,Dicta,704
משנה שכיר חלק א.txt,אוצריא/שות/אחרונים/משנה שכיר חלק א.txt,Dicta,1598
אבקת רוכל.txt,אוצריא/שות/אחרונים/אבקת רוכל.txt,Dicta,2114
שות פרי עץ חיים.txt,אוצריא/שות/אחרונים/שות פרי עץ חיים.txt,Dicta,3900
משיבת נפש חלק א.txt,אוצריא/שות/אחרונים/משיבת נפש חלק א.txt,Dicta,1615
משפטים ישרים.txt,אוצריא/שות/אחרונים/משפטים ישרים.txt,Dicta,2583
שערי בנימין.txt,אוצריא/שות/אחרונים/שערי בנימין.txt,Dicta,672
שות מהראפ.txt,אוצריא/שות/אחרונים/שות מהראפ.txt,Dicta,641
שות רבז אורח חיים.txt,אוצריא/שות/אחרונים/שות רבז אורח חיים.txt,Dicta,1689
צדקה ומשפט.txt,אוצריא/שות/אחרונים/צדקה ומשפט.txt,Dicta,825
שות רבי אליהו מזרחי (ראם).txt,אוצריא/שות/אחרונים/שות רבי אליהו מזרחי (ראם).txt,Dicta,688
שופריה דיעקב חלק א.txt,אוצריא/שות/אחרונים/שופריה דיעקב חלק א.txt,Dicta,905
שות ברוך השם.txt,אוצריא/שות/אחרונים/שות ברוך השם.txt,Dicta,1749
בנין שלמה חלק א.txt,אוצריא/שות/אחרונים/בנין שלמה חלק א.txt,Dicta,1001
שות ביכורי אברהם.txt,אוצריא/שות/אחרונים/שות ביכורי אברהם.txt,Dicta,93
אמרי בינה הוספות בסוף השות.txt,אוצריא/שות/אחרונים/אמרי בינה הוספות בסוף השות.txt,Dicta,247
בשמים ראש.txt,אוצריא/שות/אחרונים/בשמים ראש.txt,Dicta,476
תורת חסד.txt,אוצריא/שות/אחרונים/תורת חסד.txt,Dicta,562
גנת ביתן.txt,אוצריא/שות/אחרונים/גנת ביתן.txt,Dicta,548
שות פרחי כהונה.txt,אוצריא/שות/אחרונים/שות פרחי כהונה.txt,Dicta,1619
תשורת שי מהדורא תנינא.txt,אוצריא/שות/אחרונים/תשורת שי מהדורא תנינא.txt,Dicta,1895
משיבת נפש חלק ב.txt,אוצריא/שות/אחרונים/משיבת נפש חלק ב.txt,Dicta,932
טוב טעם ודעת.txt,אוצריא/שות/אחרונים/טוב טעם ודעת.txt,Dicta,1855
שדה מגרש.txt,אוצריא/שות/אחרונים/שדה מגרש.txt,Dicta,309
ראשית בכורים.txt,אוצריא/שות/אחרונים/ראשית בכורים.txt,Dicta,903
תשורת שי מהדורא קמא.txt,אוצריא/שות/אחרונים/תשורת שי מהדורא קמא.txt,Dicta,4743
שות רבז יורה דעה.txt,אוצריא/שות/אחרונים/שות רבז יורה דעה.txt,Dicta,2430
שערי עזרה.txt,אוצריא/שות/אחרונים/שערי עזרה.txt,Dicta,1555
שות רבי משולם איגרא עם הגהות וציונים.txt,אוצריא/שות/אחרונים/שות רבי משולם איגרא עם הגהות וציונים.txt,Dicta,5375
מנחת ברוך יורה דעה.txt,אוצריא/שות/אחרונים/מנחת ברוך יורה דעה.txt,Dicta,483
בית שערים אורח חיים.txt,אוצריא/שות/אחרונים/בית שערים אורח חיים.txt,Dicta,5747
שות הרדד אבן העזר א.txt,אוצריא/שות/אחרונים/שות הרדד אבן העזר א.txt,Dicta,1003
שות מהרף.txt,אוצריא/שות/אחרונים/שות מהרף.txt,Dicta,1089
אבני האפוד.txt,אוצריא/שות/אחרונים/אבני האפוד.txt,Dicta,602
שות עטרת חכמים חלק ב.txt,אוצריא/שות/אחרונים/שות עטרת חכמים חלק ב.txt,Dicta,723
שות שואל ונשאל חלק א.txt,אוצריא/שות/אחרונים/שות שואל ונשאל חלק א.txt,Dicta,1600
מלבושי יום טוב חלק ב.txt,אוצריא/שות/אחרונים/מלבושי יום טוב חלק ב.txt,Dicta,994
שות עצי ברושים.txt,אוצריא/שות/אחרונים/שות עצי ברושים.txt,Dicta,1092
שות מוצל מאש (רבי יעקב אלפנדרי).txt,אוצריא/שות/אחרונים/שות מוצל מאש (רבי יעקב אלפנדרי).txt,Dicta,540
תורת אליקום.txt,אוצריא/שות/אחרונים/תורת אליקום.txt,Dicta,203
נושא האפוד.txt,אוצריא/שות/אחרונים/נושא האפוד.txt,Dicta,621
אבני שיש חלק ב.txt,אוצריא/שות/אחרונים/אבני שיש חלק ב.txt,Dicta,985
אמרי אש חלק אבן העזר.txt,אוצריא/שות/אחרונים/אמרי אש חלק אבן העזר.txt,Dicta,1073
מהריא הלוי חלק א.txt,אוצריא/שות/אחרונים/מהריא הלוי חלק א.txt,Dicta,1448
מצות כהונה.txt,אוצריא/שות/אחרונים/מצות כהונה.txt,Dicta,595
אמרי אש חלק חושן משפט.txt,אוצריא/שות/אחרונים/אמרי אש חלק חושן משפט.txt,Dicta,250
נאות יעקב חלק א.txt,אוצריא/שות/אחרונים/נאות יעקב חלק א.txt,Dicta,306
מקום שנהגו.txt,אוצריא/שות/אחרונים/מקום שנהגו.txt,Dicta,175
שות שבות יעקב חלק ג.txt,אוצריא/שות/אחרונים/שבות יעקב/שות שבות יעקב חלק ג.txt,Dicta,621
שות שבות יעקב חלק ב.txt,אוצריא/שות/אחרונים/שבות יעקב/שות שבות יעקב חלק ב.txt,Dicta,623
שות שבות יעקב חלק א.txt,אוצריא/שות/אחרונים/שבות יעקב/שות שבות יעקב חלק א.txt,Dicta,1196
אבני נזר חושן משפט.txt,אוצריא/שות/אחרונים/אבני נזר/אבני נזר חושן משפט.txt,Dicta,1926
אבני נזר אורח חיים.txt,אוצריא/שות/אחרונים/אבני נזר/אבני נזר אורח חיים.txt,Dicta,9935
אבני נזר יורה דעה.txt,אוצריא/שות/אחרונים/אבני נזר/אבני נזר יורה דעה.txt,Dicta,5083
אבני נזר אבן העזר.txt,אוצריא/שות/אחרונים/אבני נזר/אבני נזר אבן העזר.txt,Dicta,9323
מהרש חלק ג.txt,אוצריא/שות/אחרונים/מהרש/מהרש חלק ג.txt,Dicta,1069
מהרש חלק ד.txt,אוצריא/שות/אחרונים/מהרש/מהרש חלק ד.txt,Dicta,999
בית אפרים אבן העזר.txt,אוצריא/שות/אחרונים/בית אפרים/בית אפרים אבן העזר.txt,Dicta,2972
